x,high-density-houses,low-density-houses,medium-density-houses
0.98528,19.754,72.247,46.513
0.98738,19.753,72.246,46.513
1.00011,19.75,72.24,46.516
1.97791,19.781,72.74,47.223
1.99025,19.789,72.771,47.244
1.99911,19.796,72.794,47.259
2.99673,21.641,78.984,51.107
3.00753,21.675,79.099,51.181
3.00896,21.68,79.114,51.191
3.99396,25.488,92.327,59.961
3.99553,25.493,92.348,59.975
3.99908,25.507,92.396,60.006
4.99252,28.949,105.579,68.501
5.00111,28.982,105.713,68.588
5.00418,28.994,105.761,68.619
5.99793,32.823,120.772,78.191
5.99912,32.826,120.783,78.197
6.01358,32.862,120.915,78.276
6.99604,33.006,120.51,77.543
7.00746,32.983,120.417,77.483
7.02528,32.945,120.268,77.389
8.0006,29.402,107.58,69.546
8.01223,29.349,107.39,69.421
8.02279,29.301,107.217,69.307
8.98461,24.878,90.849,58.102
9.00336,24.797,90.542,57.902
9.00655,24.783,90.49,57.868
10.00136,21.623,78.602,50.591
10.00412,21.619,78.588,50.582
10.00955,21.61,78.56,50.565
11.00767,21.092,77.942,49.918
11.00903,21.091,77.941,49.916
11.00966,21.091,77.94,49.916
12.01926,19.543,73.666,47.203
12.02734,19.527,73.619,47.174
12.02811,19.525,73.614,47.172
