x,high-density-townhouses,low-density-townhouses,medium-density-townhouses
0.98469,47.752,69.352,52.522
0.98917,47.755,69.353,52.52
0.99366,47.759,69.353,52.518
1.99415,48.947,70.281,52.854
2.01209,48.982,70.327,52.887
2.99015,52.798,75.949,57.356
3.00361,52.888,76.081,57.461
3.00809,52.919,76.125,57.496
4.00409,61.562,88.648,67.177
4.00858,61.602,88.705,67.222
4.01755,61.682,88.82,67.313
5.0001,70.384,101.526,77.138
5.00907,70.474,101.664,77.236
6.00507,79.925,116.513,87.101
6.00955,79.951,116.554,87.127
6.01404,79.978,116.594,87.153
7.0235,79.986,116.217,86.987
7.02799,79.962,116.181,86.962
7.99707,71.819,104.064,77.934
8.01053,71.678,103.852,77.778
9.00204,61.434,87.712,66.112
9.0155,61.307,87.501,65.956
9.01999,61.265,87.432,65.904
10.00702,52.274,75.967,57.149
10.01599,52.181,75.917,57.113
10.02496,52.085,75.869,57.079
10.02945,52.532,75.846,57.062
11.01199,51.561,74.621,56.439
11.02096,51.542,74.611,56.432
11.02994,51.524,74.6,56.425
12.02594,48.626,70.796,53.494
12.03042,48.61,70.773,53.476
12.03939,48.579,70.727,53.44
